id,name,address,phone,yelpRating,foodType,createdAt,updatedAt
11,St. Clouds,"1131 34th Ave, Madrona, Seattle, WA 98122",2067261522,4,"American (New), newamerican",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
12,The Hi Spot Cafe,"1410 34th Ave, Madrona, Seattle, WA 98122",2063257905,4,"American (New), newamerican",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
13,Portage Bay Cafթ & Catering,"4130 Roosevelt Way NE, University District, Seattle, WA 98105",2065478230,4,"American (New), newamerican, Breakfast & Brunch, breakfast_brunch, Cafes, cafes",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
14,BOKA Restaurant + Bar,"1010 1st Ave, Downtown, Seattle, WA 98104",2063579000,4,"American (New), newamerican, Breakfast & Brunch, breakfast_brunch, Cocktail Bars, cocktailbars",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
15,Eureka!,"2614 NE 46th St, University District, Seattle, WA 98105",2068129655,4,"American (New), newamerican, Burgers, burgers, Bars, bars",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
16,Retro Restaurant & Lounge,"216 Stewart St, Belltown, Seattle, WA 98101",2064417374,5,"American (New), newamerican, Lounges, lounges",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
17,Roosevelt Ale House,"8824 Roosevelt Way NE, Mapleleaf, Seattle, WA 98115",2065275480,4,"American (New), newamerican, Pubs, pubs",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
18,Endolyne Joes,"9261 45th Ave SW, Fauntleroy, Seattle, WA 98136",2069375637,4,"American (Traditional), tradamerican",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
19,Geraldines Counter,"4872 Rainier Ave S, Columbia City, Seattle, WA 98118",2067232080,4,"American (Traditional), tradamerican, Breakfast & Brunch, breakfast_brunch",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
20,Harrys Chicken Joint,"6032 California Ave SW, Seaview, Seattle, WA 98136",2069389000,4,"American (Traditional), tradamerican, Diners, diners, Chicken Shop, chickenshop",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
21,Easy Joes American Pub,"704 1st Ave, Downtown, Seattle, WA 98104",2066233440,4,"American (Traditional), tradamerican, Pubs, pubs",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
22,Norms Eatery & Ale House,"460 N 36th St, Fremont, Seattle, WA 98103",2065471417,4,"American (Traditional), tradamerican, Pubs, pubs",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
23,Tippe and Drague Alehouse,"3315 Beacon Ave S, Beacon Hill, Seattle, WA 98144",2065380094,5,"American (Traditional), tradamerican, Pubs, pubs",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
24,Luna Park Cafe,"2918 SW Avalon Way, Seattle, WA 98126",2069357250,4,"American (Traditional), tradamerican, Salad, salad, Breakfast & Brunch, breakfast_brunch",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
25,Cheese Wizards Food Truck,"University District, Seattle, WA 98109",,5,"American (Traditional), tradamerican, Sandwiches, sandwiches, Food Trucks, foodtrucks",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
26,Rookies Sports Bar and Grill,"3820 S Ferdinand St, Ste 101, Columbia City, Seattle, WA 98118",2067220301,4,"American (Traditional), tradamerican, Sports Bars, sportsbars, Breakfast & Brunch, breakfast_brunch",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
27,Fremont Dock Sports Bar,"1102 N 34th St, Fremont, Seattle, WA 98103",2068298372,4,"American (Traditional), tradamerican, Sports Bars, sportsbars, Karaoke, karaoke",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
28,Tig Asian Tapas Bar,"614 1st Ave, Pioneer Square, Seattle, WA 98104",2063320844,3,"Asian Fusion, asianfusion",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
29,Chopstix,"1405 5th Ave, Downtown, Seattle, WA 98122",4256107388,4,"Asian Fusion, asianfusion, Food Trucks, foodtrucks",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
30,Larsens Danish Bakery,"8000 24th Ave NW, Ballard, Seattle, WA 98117",2067828285,5,"Bakeries, bakeries",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
31,Hello Robin,"522 19th Ave E, Capitol Hill, Seattle, WA 98112",2067357970,5,"Bakeries, bakeries, Cafes, cafes",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
32,Two Tartes Bakery,"5629 Airport Way S, Georgetown, Seattle, WA 98108",2067678012,5,"Bakeries, bakeries, Caterers, catering, Cafes, cafes",2015-04-14  18:51:02.499-07,2015-04-14  18:51:02.499-08
